,date,time,shared,ped,cross,headway
101,"Saturday, June 19, 2021",20:03:00,1,25,6,0.417
102,"Saturday, June 19, 2021",20:05:00,1,42,10,0.867
103,"Saturday, June 19, 2021",20:07:00,1,53,14,0.983
104,"Saturday, June 19, 2021",20:10:00,1,34,9,0.383
105,"Saturday, June 19, 2021",20:12:00,1,33,10,1
106,"Saturday, June 19, 2021",18:30:00,0,2,0,0.525
107,"Saturday, June 19, 2021",18:32:00,0,10,2,0.092
108,"Saturday, June 19, 2021",18:34:00,0,13,3,0.358
109,"Saturday, June 19, 2021",18:38:00,0,12,1,0.283
110,"Saturday, June 19, 2021",18:41:00,0,12,0,0.342
111,"Saturday, June 19, 2021",18:43:00,0,9,1,0.15
112,"Saturday, June 19, 2021",18:46:00,0,7,2,0.558
113,"Saturday, June 19, 2021",18:50:00,0,6,0,1
114,"Saturday, June 19, 2021",18:53:00,0,13,3,1
115,"Saturday, June 19, 2021",18:55:00,0,12,0,0.25
116,"Saturday, June 19, 2021",18:58:00,0,16,4,0.213
117,"Saturday, June 19, 2021",19:01:00,0,15,3,0.117
118,"Saturday, June 19, 2021",19:03:00,0,13,2,0.633
119,"Saturday, June 19, 2021",19:05:00,0,15,2,0.388
120,"Saturday, June 19, 2021",19:08:00,0,8,3,0.203
121,"Saturday, June 19, 2021",19:10:00,0,12,2,0.275
122,"Saturday, June 19, 2021",19:13:00,0,13,1,0.392
123,"Saturday, June 19, 2021",19:15:00,0,16,3,0.967
124,"Saturday, June 19, 2021",19:18:00,0,14,2,0.35
125,"Saturday, June 19, 2021",19:20:00,0,8,4,0.483
126,"Saturday, June 19, 2021",19:22:00,0,11,3,0.45
127,"Saturday, June 19, 2021",19:25:00,0,22,3,0.258
128,"Saturday, June 19, 2021",19:27:00,0,12,1,0.205
129,"Saturday, June 19, 2021",19:29:00,0,8,4,0.358
130,"Saturday, June 19, 2021",19:32:00,0,15,1,0.207
131,"Saturday, June 19, 2021",19:35:00,0,17,3,0.75
132,"Saturday, June 19, 2021",19:39:00,0,22,4,1
133,"Saturday, June 19, 2021",19:40:00,0,12,2,1
134,"Saturday, June 19, 2021",19:43:00,0,10,2,0.208
135,"Saturday, June 19, 2021",19:45:00,0,5,1,0.252
136,"Saturday, June 19, 2021",19:47:00,0,12,3,0.492
137,"Saturday, June 19, 2021",19:49:00,0,9,2,0.533
138,"Saturday, June 19, 2021",19:51:00,0,7,3,0.255
139,"Saturday, June 19, 2021",19:54:00,0,16,3,0.28
140,"Saturday, June 19, 2021",19:56:00,0,15,5,0.425
141,"Saturday, June 19, 2021",19:58:00,0,13,1,0.367
142,"Saturday, June 19, 2021",20:00:00,0,10,1,0.163
143,"Saturday, June 19, 2021",20:02:00,0,9,1,0.367
144,"Saturday, June 19, 2021",20:05:00,0,9,5,0.475
145,"Saturday, June 19, 2021",20:09:00,0,16,4,0.267
146,"Saturday, June 19, 2021",20:12:00,0,17,5,0.583
147,"Saturday, June 19, 2021",20:16:00,0,9,4,0.197
148,"Saturday, June 19, 2021",20:19:00,0,12,2,1
149,"Saturday, June 19, 2021",20:21:00,0,13,4,0.408
150,"Saturday, June 19, 2021",20:23:00,0,20,5,0.242
151,"Saturday, June 19, 2021",20:25:00,0,14,4,0.145
152,"Saturday, June 19, 2021",20:29:00,0,25,2,0.18
153,"Saturday, June 19, 2021",20:30:00,0,14,3,0.133
154,"Saturday, June 19, 2021",20:32:00,0,37,1,0.325
155,"Saturday, June 19, 2021",20:34:00,0,30,1,0.25
156,"Saturday, June 19, 2021",20:37:00,0,13,2,0.187
157,"Saturday, June 19, 2021",11:45:00,0,7,0,0.297
158,"Saturday, June 19, 2021",11:47:00,0,10,0,0.733
159,"Saturday, June 19, 2021",11:49:00,0,8,0,0.345
160,"Saturday, June 19, 2021",11:51:00,0,8,2,0.783
161,"Saturday, June 19, 2021",11:54:00,0,5,0,0.103
162,"Saturday, June 19, 2021",11:56:00,0,8,3,0.15
163,"Saturday, June 19, 2021",11:58:00,0,10,0,0.272
164,"Saturday, June 19, 2021",12:01:00,0,5,1,0.533
165,"Saturday, June 19, 2021",12:03:00,0,11,2,0.517
166,"Saturday, June 19, 2021",12:05:00,0,27,1,0.35
167,"Saturday, June 19, 2021",12:07:00,0,7,3,0.212
168,"Saturday, June 19, 2021",12:08:00,0,11,3,1
169,"Saturday, June 19, 2021",12:10:00,0,9,2,0.405
170,"Saturday, June 19, 2021",12:12:00,0,16,1,0.65
171,"Saturday, June 19, 2021",12:15:00,0,5,2,0.117
172,"Saturday, June 19, 2021",12:17:00,0,6,0,0.467
173,"Saturday, June 19, 2021",12:19:00,0,2,0,0.295
174,"Saturday, June 19, 2021",12:21:00,0,12,4,0.205
175,"Saturday, June 19, 2021",12:24:00,0,10,1,0.142
176,"Saturday, June 19, 2021",12:26:00,0,12,1,0.238
177,"Saturday, June 19, 2021",12:28:00,0,2,1,1
178,"Saturday, June 19, 2021",12:31:00,0,17,1,0.383
179,"Saturday, June 19, 2021",12:33:00,0,7,0,0.25
180,"Saturday, June 19, 2021",12:35:00,0,10,1,0.17
181,"Saturday, June 19, 2021",12:38:00,0,26,4,0.472
182,"Saturday, June 19, 2021",12:40:00,0,8,3,0.322
183,"Saturday, June 19, 2021",12:43:00,0,9,1,0.148
184,"Saturday, June 19, 2021",12:45:00,0,13,3,0.172
185,"Saturday, June 19, 2021",12:47:00,0,12,2,0.412
186,"Saturday, June 19, 2021",12:49:00,0,15,5,1
187,"Saturday, June 19, 2021",12:51:00,0,7,2,0.35
188,"Saturday, June 19, 2021",12:54:00,0,6,2,0.533
189,"Saturday, June 19, 2021",12:56:00,0,7,1,0.433
190,"Saturday, June 19, 2021",12:58:00,0,5,0,0.153
191,"Saturday, June 19, 2021",13:00:00,0,4,4,0.312
192,"Saturday, June 19, 2021",13:02:00,0,14,1,0.633
193,"Saturday, June 19, 2021",13:05:00,0,10,3,0.6
194,"Saturday, June 19, 2021",13:09:00,0,12,3,0.188
195,"Saturday, June 19, 2021",13:11:00,0,16,3,0.263
196,"Saturday, June 19, 2021",13:13:00,0,7,1,0.153
197,"Saturday, June 19, 2021",13:15:00,0,6,2,0.322
198,"Saturday, June 19, 2021",13:20:00,0,7,1,0.305
199,"Saturday, June 19, 2021",13:22:00,0,9,2,1
200,"Saturday, June 19, 2021",13:24:00,0,11,2,1
201,"Saturday, June 19, 2021",13:26:00,0,10,5,0.3
202,"Saturday, June 19, 2021",13:28:00,0,11,0,0.195
203,"Saturday, June 19, 2021",13:33:00,0,6,0,0.35
204,"Saturday, June 19, 2021",13:35:00,0,9,1,0.197
205,"Saturday, June 19, 2021",13:37:00,0,8,1,0.133
206,"Saturday, June 19, 2021",13:39:00,0,12,2,0.442
207,"Saturday, June 19, 2021",13:42:00,0,8,1,1
208,"Saturday, June 19, 2021",13:46:00,0,7,1,0.122
209,"Saturday, June 19, 2021",13:47:00,0,5,3,0.108
