period,date,time,ped,cross,headway,speed,spcu,flow,case,shared,oneway,park,mark,trees,bollards,width,cross_y,s_width,inters,bench,obst,lev_segr
174,"Saturday, June 19, 2021",19:10:00,12,2,0.28,22.5,1.5,214.28571430000002,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
175,"Saturday, June 19, 2021",19:13:00,13,1,0.39,28.0,2.0,153.84615380000002,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
176,"Saturday, June 19, 2021",19:15:00,16,3,0.97,27.0,2.0,61.8556701,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
177,"Saturday, June 19, 2021",19:18:00,14,2,0.35,5.0,1.0,171.4285714,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
178,"Saturday, June 19, 2021",19:20:00,8,4,0.48,29.0,1.0,125.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
179,"Saturday, June 19, 2021",19:22:00,11,3,0.45,23.5,2.0,133.3333333,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
180,"Saturday, June 19, 2021",19:25:00,22,3,0.26,28.25,3.5,230.76923080000003,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
181,"Saturday, June 19, 2021",19:27:00,12,1,0.2,25.14,6.5,300.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
182,"Saturday, June 19, 2021",19:29:00,8,4,0.36,30.5,2.0,166.66666669999998,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
183,"Saturday, June 19, 2021",19:32:00,15,1,0.21,30.0,7.0,285.7142857,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
184,"Saturday, June 19, 2021",19:35:00,17,3,0.75,23.0,1.0,80.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
185,"Saturday, June 19, 2021",19:39:00,22,4,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
186,"Saturday, June 19, 2021",19:40:00,12,2,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
187,"Saturday, June 19, 2021",19:43:00,10,2,0.21,26.0,2.0,285.7142857,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
188,"Saturday, June 19, 2021",19:45:00,5,1,0.25,27.86,9.0,240.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
189,"Saturday, June 19, 2021",19:47:00,12,3,0.49,35.0,2.0,122.44897959999999,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
190,"Saturday, June 19, 2021",19:49:00,9,2,0.53,33.0,2.0,113.20754720000001,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
191,"Saturday, June 19, 2021",19:51:00,7,3,0.26,32.33,4.0,230.76923080000003,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
192,"Saturday, June 19, 2021",19:54:00,16,3,0.28,29.25,4.5,214.28571430000002,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
193,"Saturday, June 19, 2021",19:56:00,15,5,0.43,34.0,1.5,139.5348837,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
194,"Saturday, June 19, 2021",19:58:00,13,1,0.37,29.0,4.0,162.1621622,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
195,"Saturday, June 19, 2021",20:00:00,10,1,0.16,31.75,4.5,375.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
196,"Saturday, June 19, 2021",20:02:00,9,1,0.37,32.67,2.0,162.1621622,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
197,"Saturday, June 19, 2021",20:05:00,9,5,0.48,33.0,2.0,125.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
198,"Saturday, June 19, 2021",20:09:00,16,4,0.27,37.5,2.0,222.2222222,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
199,"Saturday, June 19, 2021",20:12:00,17,5,0.58,28.0,2.0,103.44827590000001,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
200,"Saturday, June 19, 2021",20:16:00,9,4,0.2,15.8,4.5,300.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
201,"Saturday, June 19, 2021",20:19:00,12,2,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
202,"Saturday, June 19, 2021",20:21:00,13,4,0.41,30.5,1.5,146.3414634,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
203,"Saturday, June 19, 2021",20:23:00,20,5,0.24,28.5,5.5,250.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
204,"Saturday, June 19, 2021",20:25:00,14,4,0.15,22.14,10.0,400.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
205,"Saturday, June 19, 2021",20:29:00,25,2,0.18,27.33,9.0,333.3333333,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
206,"Saturday, June 19, 2021",20:30:00,14,3,0.13,19.25,8.5,461.53846150000004,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
207,"Saturday, June 19, 2021",20:32:00,37,1,0.33,25.25,3.5,181.81818180000002,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
208,"Saturday, June 19, 2021",20:34:00,30,1,0.25,26.33,2.5,240.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
209,"Saturday, June 19, 2021",20:37:00,13,2,0.19,17.6,5.0,315.7894737,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
