period,date,time,ped,cross,headway,speed,spcu,flow,case,shared,oneway,park,mark,trees,bollards,width,cross_y,s_width,inters,bench,obst,lev_segr
66,"Saturday, June 19, 2021",18:49:00,21,5,0.41,30.0,2.5,146.3414634,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
67,"Saturday, June 19, 2021",18:52:00,10,4,0.68,34.0,2.0,88.23529412,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
68,"Saturday, June 19, 2021",18:54:00,17,5,0.34,29.5,2.0,176.4705882,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
69,"Saturday, June 19, 2021",18:56:00,17,9,0.35,21.25,4.0,171.4285714,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
70,"Saturday, June 19, 2021",18:58:00,17,5,0.09,22.33,3.0,666.6666667000001,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
71,"Saturday, June 19, 2021",19:00:00,16,5,1.0,24.0,0.0,60.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
72,"Saturday, June 19, 2021",19:02:00,12,1,0.65,26.0,2.0,92.30769231,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
73,"Saturday, June 19, 2021",19:04:00,11,4,0.6,26.0,1.0,100.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
74,"Saturday, June 19, 2021",19:07:00,12,4,0.08,24.0,1.0,750.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
75,"Saturday, June 19, 2021",19:09:00,20,3,0.61,26.0,2.0,98.36065574,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
76,"Saturday, June 19, 2021",19:12:00,14,3,0.33,29.5,1.5,181.81818180000002,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
77,"Saturday, June 19, 2021",19:14:00,19,2,0.41,18.5,2.0,146.3414634,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
78,"Saturday, June 19, 2021",19:16:00,17,4,0.39,27.67,3.0,153.84615380000002,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
79,"Saturday, June 19, 2021",19:18:00,10,5,1.0,24.0,0.0,60.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
80,"Saturday, June 19, 2021",19:20:00,14,4,0.3,24.5,2.0,200.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
81,"Saturday, June 19, 2021",19:22:00,22,2,0.33,24.0,3.0,181.81818180000002,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
82,"Saturday, June 19, 2021",19:24:00,21,4,0.08,20.75,4.0,750.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
83,"Saturday, June 19, 2021",19:26:00,15,3,0.53,17.0,1.5,113.20754720000001,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
84,"Saturday, June 19, 2021",19:28:00,14,7,0.73,24.0,1.0,82.19178082,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
85,"Saturday, June 19, 2021",19:30:00,16,3,0.26,19.8,5.0,230.76923080000003,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
86,"Saturday, June 19, 2021",19:32:00,13,2,0.93,28.0,1.0,64.51612903,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
87,"Saturday, June 19, 2021",19:34:00,10,3,1.0,24.0,0.0,60.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
88,"Saturday, June 19, 2021",19:36:00,15,4,1.0,24.0,0.0,60.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
89,"Saturday, June 19, 2021",19:38:00,16,4,0.41,21.0,3.0,146.3414634,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
90,"Saturday, June 19, 2021",19:40:00,21,8,0.21,16.33,3.0,285.7142857,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
91,"Saturday, June 19, 2021",19:43:00,27,7,0.24,11.0,6.0,250.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
92,"Saturday, June 19, 2021",19:45:00,15,4,0.25,21.5,4.0,240.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
93,"Saturday, June 19, 2021",19:47:00,24,5,0.25,20.5,4.0,240.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
94,"Saturday, June 19, 2021",19:49:00,15,3,0.33,24.0,4.0,181.81818180000002,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
95,"Saturday, June 19, 2021",19:51:00,20,4,0.28,18.67,3.0,214.28571430000002,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
96,"Saturday, June 19, 2021",19:52:00,27,7,0.31,28.5,2.0,193.5483871,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
97,"Saturday, June 19, 2021",19:55:00,33,8,0.23,20.0,3.0,260.86956519999995,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
98,"Saturday, June 19, 2021",19:57:00,39,13,0.23,30.5,2.0,260.86956519999995,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
99,"Saturday, June 19, 2021",19:58:00,30,10,0.16,20.33,3.0,375.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
100,"Saturday, June 19, 2021",20:01:00,44,9,0.3,21.5,4.0,200.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
101,"Saturday, June 19, 2021",20:03:00,25,6,0.42,30.67,2.0,142.8571429,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
102,"Saturday, June 19, 2021",20:05:00,42,10,0.87,22.0,1.0,68.96551724,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
103,"Saturday, June 19, 2021",20:07:00,53,14,0.98,21.0,1.0,61.22448979999999,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
104,"Saturday, June 19, 2021",20:10:00,34,9,0.38,20.0,0.5,157.8947368,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
105,"Saturday, June 19, 2021",20:12:00,33,10,1.0,24.0,0.0,60.0,shnaf,1,1,1,0,0,1,4.5,0,6.25,999,0,1,1
106,"Saturday, June 19, 2021",11:45:00,7,0,0.3,30.75,5.0,200.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
107,"Saturday, June 19, 2021",11:47:00,10,0,0.73,34.0,1.0,82.19178082,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
108,"Saturday, June 19, 2021",11:49:00,8,0,0.34,32.0,3.0,176.4705882,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
