vid,date,time,case,type,pcu,speed,ped,cross,park,headway
473,"Saturday, June 19, 2021",18:32:11,covnaf,car,1,27,10,2,0,0.067
474,"Saturday, June 19, 2021",18:32:13,covnaf,car,1,29,10,2,0,0.033
475,"Saturday, June 19, 2021",18:32:15,covnaf,car,1,6,10,2,0,0.033
476,"Saturday, June 19, 2021",18:32:29,covnaf,car,1,43,10,2,0,0.233
477,"Saturday, June 19, 2021",18:32:55,covnaf,car,1,32,10,2,0,0.433
478,"Saturday, June 19, 2021",18:33:36,covnaf,truck,2,32,10,2,0,0.683
479,"Saturday, June 19, 2021",18:33:38,covnaf,moto,0.5,40,10,2,0,0.033
480,"Saturday, June 19, 2021",18:34:32,covnaf,truck,2,39,13,3,1,0.9
481,"Saturday, June 19, 2021",18:34:49,covnaf,car,1,30,13,3,1,0.283
482,"Saturday, June 19, 2021",18:35:04,covnaf,car,1,35,13,3,1,0.25
483,"Saturday, June 19, 2021",18:41:52,covnaf,car,1,31,12,0,0,0.8
484,"Saturday, June 19, 2021",18:42:15,covnaf,car,1,42,12,0,0,0.383
485,"Saturday, June 19, 2021",18:42:20,covnaf,car,1,34,12,0,0,0.083
486,"Saturday, June 19, 2021",18:42:26,covnaf,car,1,37,12,0,0,0.1
487,"Saturday, June 19, 2021",18:42:28,covnaf,car,1,55,12,0,0,0.033
488,"Saturday, June 19, 2021",18:43:14,covnaf,car,1,15,9,1,1,0.767
489,"Saturday, June 19, 2021",18:44:22,covnaf,car,1,16,9,1,1,0.133
490,"Saturday, June 19, 2021",18:44:25,covnaf,moto,0.5,36,9,1,1,0.05
491,"Saturday, June 19, 2021",18:44:39,covnaf,car,1,37,9,1,1,0.233
492,"Saturday, June 19, 2021",18:46:08,covnaf,car,1,11,7,2,1,0.483
493,"Saturday, June 19, 2021",18:46:47,covnaf,car,1,29,7,2,1,0.65
494,"Saturday, June 19, 2021",18:46:58,covnaf,car,1,33,7,2,1,0.183
495,"Saturday, June 19, 2021",18:47:49,covnaf,car,1,30,7,2,1,0.85
496,"Saturday, June 19, 2021",18:54:11,covnaf,car,1,30,13,3,0,0.367
497,"Saturday, June 19, 2021",18:54:14,covnaf,car,1,24,13,3,0,0.05
498,"Saturday, June 19, 2021",18:54:37,covnaf,car,1,33,13,3,0,0.383
499,"Saturday, June 19, 2021",18:54:40,covnaf,moto,0.5,14,13,3,0,0.05
500,"Saturday, June 19, 2021",18:54:55,covnaf,car,1,43,13,3,0,0.25
501,"Saturday, June 19, 2021",18:55:59,covnaf,car,1,38,12,0,1,0.067
502,"Saturday, June 19, 2021",18:56:05,covnaf,car,1,28,12,0,1,0.1
503,"Saturday, June 19, 2021",18:56:31,covnaf,car,1,24,12,0,1,0.433
504,"Saturday, June 19, 2021",18:56:58,covnaf,car,1,23,12,0,1,0.45
505,"Saturday, June 19, 2021",18:58:25,covnaf,moto,0.5,14,16,4,0,0.45
506,"Saturday, June 19, 2021",18:59:56,covnaf,car,1,35,16,4,0,0.517
507,"Saturday, June 19, 2021",19:01:10,covnaf,truck,2,26,15,3,1,0.233
508,"Saturday, June 19, 2021",19:01:12,covnaf,car,1,39,15,3,1,0.033
509,"Saturday, June 19, 2021",19:01:20,covnaf,car,1,28,15,3,1,0.133
510,"Saturday, June 19, 2021",19:01:37,covnaf,car,1,25,15,3,1,0.283
511,"Saturday, June 19, 2021",19:01:40,covnaf,car,1,26,15,3,1,0.05
512,"Saturday, June 19, 2021",19:02:05,covnaf,car,1,32,15,3,1,0.417
513,"Saturday, June 19, 2021",19:02:56,covnaf,car,1,30,15,3,1,0.85
514,"Saturday, June 19, 2021",19:03:15,covnaf,car,1,26,13,2,1,0.317
515,"Saturday, June 19, 2021",19:03:17,covnaf,car,1,23,13,2,1,0.033
516,"Saturday, June 19, 2021",19:03:26,covnaf,car,1,29,13,2,1,0.15
517,"Saturday, June 19, 2021",19:04:03,covnaf,car,1,22,13,2,1,0.617
518,"Saturday, June 19, 2021",19:04:16,covnaf,moto,0.5,38,13,2,1,0.217
519,"Saturday, June 19, 2021",19:04:20,covnaf,car,1,41,13,2,1,0.067
520,"Saturday, June 19, 2021",19:04:59,covnaf,car,1,20,13,2,1,0.65
521,"Saturday, June 19, 2021",19:05:07,covnaf,moto,0.5,32,15,2,0,0.133
522,"Saturday, June 19, 2021",19:05:09,covnaf,car,1,31,15,2,0,0.033
523,"Saturday, June 19, 2021",19:05:38,covnaf,car,1,30,15,2,0,0.483
524,"Saturday, June 19, 2021",19:06:15,covnaf,car,1,24,15,2,0,0.617
525,"Saturday, June 19, 2021",19:06:20,covnaf,car,1,23,15,2,0,0.083
526,"Saturday, June 19, 2021",19:06:34,covnaf,car,1,26,15,2,0,0.233
527,"Saturday, June 19, 2021",19:06:39,covnaf,car,1,18,15,2,0,0.083
528,"Saturday, June 19, 2021",19:06:43,covnaf,car,1,26,15,2,0,0.067
529,"Saturday, June 19, 2021",19:06:45,covnaf,moto,0.5,26,15,2,0,0.033
530,"Saturday, June 19, 2021",19:06:56,covnaf,car,1,32,15,2,0,0.183
531,"Saturday, June 19, 2021",19:08:08,covnaf,truck,2,12,8,3,0,0.2
532,"Saturday, June 19, 2021",19:08:10,covnaf,car,1,11,8,3,0,0.033
533,"Saturday, June 19, 2021",19:08:12,covnaf,moto,0.5,12,8,3,0,0.033
534,"Saturday, June 19, 2021",19:09:44,covnaf,car,1,8,8,3,0,0.533
535,"Saturday, June 19, 2021",19:09:45,covnaf,moto,0.5,37,8,3,0,0.017
536,"Saturday, June 19, 2021",19:11:35,covnaf,car,1,55,12,2,0,0.833
537,"Saturday, June 19, 2021",19:13:03,covnaf,truck,2,32,13,1,0,0.467
538,"Saturday, June 19, 2021",19:13:06,covnaf,car,1,23,13,1,0,0.05
539,"Saturday, June 19, 2021",19:13:39,covnaf,car,1,24,13,1,0,0.55
540,"Saturday, June 19, 2021",19:13:46,covnaf,car,1,28,13,1,0,0.117
541,"Saturday, June 19, 2021",19:14:44,covnaf,truck,2,27,13,1,0,0.967
542,"Saturday, June 19, 2021",19:15:04,covnaf,car,1,38,16,3,0,0.333
543,"Saturday, June 19, 2021",19:15:51,covnaf,moto,0.5,8,16,3,0,0.783
544,"Saturday, June 19, 2021",19:16:05,covnaf,moto,0.5,26,16,3,0,0.233
545,"Saturday, June 19, 2021",19:16:08,covnaf,car,1,31,16,3,0,0.05
546,"Saturday, June 19, 2021",19:16:54,covnaf,car,1,33,16,3,0,0.767
547,"Saturday, June 19, 2021",19:16:57,covnaf,car,1,30,16,3,0,0.05
548,"Saturday, June 19, 2021",19:18:00,covnaf,car,1,26,14,2,0,0.05
549,"Saturday, June 19, 2021",19:18:07,covnaf,car,1,26,14,2,0,0.117
550,"Saturday, June 19, 2021",19:18:15,covnaf,car,1,33,14,2,0,0.133
551,"Saturday, June 19, 2021",19:18:16,covnaf,car,1,37,14,2,0,0.017
552,"Saturday, June 19, 2021",19:18:17,covnaf,moto,0.5,44,14,2,0,0.017
553,"Saturday, June 19, 2021",19:18:47,covnaf,moto,0.5,28,14,2,0,0.5
554,"Saturday, June 19, 2021",19:19:16,covnaf,car,1,29,14,2,0,0.483
555,"Saturday, June 19, 2021",19:20:21,covnaf,car,1,46,8,4,0,0.083
556,"Saturday, June 19, 2021",19:20:39,covnaf,car,1,27,8,4,0,0.3
557,"Saturday, June 19, 2021",19:21:00,covnaf,car,1,6,8,4,0,0.35
558,"Saturday, June 19, 2021",19:21:33,covnaf,car,1,41,8,4,0,0.55
559,"Saturday, June 19, 2021",19:22:10,covnaf,truck,2,35,11,3,1,0.617
560,"Saturday, June 19, 2021",19:22:56,covnaf,long,3,18,11,3,1,0.767
561,"Saturday, June 19, 2021",19:23:00,covnaf,car,1,22,11,3,1,0.067
562,"Saturday, June 19, 2021",19:23:03,covnaf,car,1,25,11,3,1,0.05
563,"Saturday, June 19, 2021",19:23:08,covnaf,car,1,21,11,3,1,0.083
564,"Saturday, June 19, 2021",19:23:24,covnaf,car,1,19,11,3,1,0.267
565,"Saturday, June 19, 2021",19:23:30,covnaf,car,1,16,11,3,1,0.1
566,"Saturday, June 19, 2021",19:26:16,covnaf,car,1,27,22,3,0,0.767
567,"Saturday, June 19, 2021",19:26:21,covnaf,car,1,25,22,3,0,0.083
568,"Saturday, June 19, 2021",19:26:24,covnaf,car,1,25,22,3,0,0.05
569,"Saturday, June 19, 2021",19:26:34,covnaf,car,1,25,22,3,0,0.167
570,"Saturday, June 19, 2021",19:26:47,covnaf,car,1,29,22,3,0,0.217
571,"Saturday, June 19, 2021",19:26:51,covnaf,car,1,24,22,3,0,0.067
572,"Saturday, June 19, 2021",19:26:58,covnaf,moto,0.5,21,22,3,0,0.117
573,"Saturday, June 19, 2021",19:27:05,covnaf,car,1,19,12,1,0,0.117
574,"Saturday, June 19, 2021",19:27:13,covnaf,car,1,30,12,1,0,0.133
575,"Saturday, June 19, 2021",19:27:37,covnaf,car,1,28,12,1,0,0.4
576,"Saturday, June 19, 2021",19:27:40,covnaf,car,1,6,12,1,0,0.05
577,"Saturday, June 19, 2021",19:27:42,covnaf,car,1,5,12,1,0,0.033
578,"Saturday, June 19, 2021",19:27:59,covnaf,truck,2,26,12,1,0,0.283
579,"Saturday, June 19, 2021",19:28:27,covnaf,car,1,35,12,1,0,0.467
580,"Saturday, June 19, 2021",19:28:42,covnaf,car,1,26,12,1,0,0.25
581,"Saturday, June 19, 2021",19:29:12,covnaf,car,1,52,8,4,1,0.5
582,"Saturday, June 19, 2021",19:29:52,covnaf,car,1,32,8,4,1,0.667
583,"Saturday, June 19, 2021",19:30:10,covnaf,car,1,32,8,4,1,0.3
584,"Saturday, June 19, 2021",19:30:37,covnaf,car,1,29,8,4,1,0.45
585,"Saturday, June 19, 2021",19:30:41,covnaf,truck,2,40,8,4,1,0.067
586,"Saturday, June 19, 2021",19:30:52,covnaf,car,1,39,8,4,1,0.183
587,"Saturday, June 19, 2021",19:33:14,covnaf,car,1,9,15,1,1,0.367
588,"Saturday, June 19, 2021",19:33:23,covnaf,moto,0.5,29,15,1,1,0.15
589,"Saturday, June 19, 2021",19:33:55,covnaf,truck,2,35,15,1,1,0.533
590,"Saturday, June 19, 2021",19:35:23,covnaf,car,1,36,17,3,0,0.467
591,"Saturday, June 19, 2021",19:35:32,covnaf,car,1,35,17,3,0,0.15
592,"Saturday, June 19, 2021",19:36:04,covnaf,truck,2,24,17,3,0,0.533
593,"Saturday, June 19, 2021",19:36:22,covnaf,car,1,26,17,3,0,0.3
594,"Saturday, June 19, 2021",19:36:28,covnaf,car,1,26,17,3,0,0.1
595,"Saturday, June 19, 2021",19:36:32,covnaf,car,1,24,17,3,0,0.067
596,"Saturday, June 19, 2021",19:36:48,covnaf,car,1,40,17,3,0,0.267
597,"Saturday, June 19, 2021",19:43:05,covnaf,truck,2,12,10,2,0,0.283
598,"Saturday, June 19, 2021",19:43:09,covnaf,truck,2,12,10,2,0,0.067
599,"Saturday, June 19, 2021",19:44:03,covnaf,car,1,32,10,2,0,0.9
600,"Saturday, June 19, 2021",19:44:28,covnaf,car,1,32,10,2,0,0.417
601,"Saturday, June 19, 2021",19:44:38,covnaf,car,1,7,10,2,0,0.167
602,"Saturday, June 19, 2021",19:44:41,covnaf,truck,2,28,10,2,0,0.05
603,"Saturday, June 19, 2021",19:44:47,covnaf,car,1,31,10,2,0,0.1
604,"Saturday, June 19, 2021",19:44:53,covnaf,truck,2,38,10,2,0,0.1
605,"Saturday, June 19, 2021",19:44:55,covnaf,car,1,27,10,2,0,0.033
606,"Saturday, June 19, 2021",19:45:29,covnaf,car,1,29,5,1,1,0.567
607,"Saturday, June 19, 2021",19:45:34,covnaf,moto,0.5,38,5,1,1,0.083
608,"Saturday, June 19, 2021",19:45:44,covnaf,car,1,28,5,1,1,0.167
609,"Saturday, June 19, 2021",19:46:20,covnaf,car,1,32,5,1,1,0.6
610,"Saturday, June 19, 2021",19:46:43,covnaf,car,1,38,5,1,1,0.383
611,"Saturday, June 19, 2021",19:47:23,covnaf,car,1,20,12,3,0,0.667
612,"Saturday, June 19, 2021",19:47:50,covnaf,car,1,40,12,3,0,0.45
613,"Saturday, June 19, 2021",19:48:40,covnaf,car,1,36,12,3,0,0.833
614,"Saturday, June 19, 2021",19:48:54,covnaf,car,1,30,12,3,0,0.233
615,"Saturday, June 19, 2021",19:49:55,covnaf,car,1,43,9,2,0,0.017
616,"Saturday, June 19, 2021",19:50:24,covnaf,truck,2,32,9,2,0,0.483
617,"Saturday, June 19, 2021",19:50:35,covnaf,car,1,29,9,2,0,0.183
618,"Saturday, June 19, 2021",19:50:41,covnaf,car,1,36,9,2,0,0.1
619,"Saturday, June 19, 2021",19:51:49,covnaf,car,1,24,7,3,0,0.133
620,"Saturday, June 19, 2021",19:52:08,covnaf,car,1,40,7,3,0,0.317
621,"Saturday, June 19, 2021",19:52:24,covnaf,car,1,39,7,3,0,0.267
622,"Saturday, June 19, 2021",19:52:46,covnaf,car,1,36,7,3,0,0.367
623,"Saturday, June 19, 2021",19:54:16,covnaf,car,1,55,16,3,0,0.5
624,"Saturday, June 19, 2021",19:54:27,covnaf,car,1,53,16,3,0,0.183
625,"Saturday, June 19, 2021",19:54:31,covnaf,car,1,34,16,3,0,0.067
626,"Saturday, June 19, 2021",19:54:33,covnaf,car,1,33,16,3,0,0.033
627,"Saturday, June 19, 2021",19:54:43,covnaf,truck,2,38,16,3,0,0.167
628,"Saturday, June 19, 2021",19:55:23,covnaf,moto,0.5,51,16,3,0,0.667
629,"Saturday, June 19, 2021",19:55:34,covnaf,car,1,17,16,3,0,0.183
630,"Saturday, June 19, 2021",19:56:54,covnaf,car,1,41,15,5,0,0.333
631,"Saturday, June 19, 2021",19:57:22,covnaf,truck,2,20,15,5,0,0.467
632,"Saturday, June 19, 2021",19:57:38,covnaf,truck,2,38,15,5,0,0.267
633,"Saturday, June 19, 2021",19:58:18,covnaf,car,1,24,13,1,0,0.667
634,"Saturday, June 19, 2021",19:58:41,covnaf,car,1,27,13,1,0,0.383
635,"Saturday, June 19, 2021",19:58:43,covnaf,car,1,27,13,1,0,0.033
636,"Saturday, June 19, 2021",19:59:01,covnaf,truck,2,32,13,1,0,0.3
637,"Saturday, June 19, 2021",19:59:03,covnaf,car,1,34,13,1,0,0.033
638,"Saturday, June 19, 2021",19:59:16,covnaf,moto,0.5,30,13,1,0,0.217
639,"Saturday, June 19, 2021",19:59:22,covnaf,car,1,31,13,1,0,0.1
640,"Saturday, June 19, 2021",20:00:34,covnaf,long,3,16,10,1,0,0.2
641,"Saturday, June 19, 2021",20:00:48,covnaf,car,1,31,10,1,0,0.233
642,"Saturday, June 19, 2021",20:01:10,covnaf,car,1,36,10,1,0,0.367
643,"Saturday, June 19, 2021",20:01:31,covnaf,moto,0.5,46,10,1,0,0.35
644,"Saturday, June 19, 2021",20:01:54,covnaf,moto,0.5,16,10,1,0,0.383
645,"Saturday, June 19, 2021",20:02:48,covnaf,moto,0.5,30,9,1,0,0.9
646,"Saturday, June 19, 2021",20:03:19,covnaf,moto,0.5,15,9,1,0,0.517
647,"Saturday, June 19, 2021",20:03:26,covnaf,car,1,30,9,1,0,0.117
648,"Saturday, June 19, 2021",20:03:35,covnaf,car,1,29,9,1,0,0.15
649,"Saturday, June 19, 2021",20:05:15,covnaf,car,1,22,9,5,1,0.667
650,"Saturday, June 19, 2021",20:06:01,covnaf,truck,2,25,9,5,1,0.767
651,"Saturday, June 19, 2021",20:06:12,covnaf,car,1,30,9,5,1,0.183
652,"Saturday, June 19, 2021",20:06:16,covnaf,car,1,23,9,5,1,0.067
653,"Saturday, June 19, 2021",20:06:21,covnaf,car,1,26,9,5,1,0.083
654,"Saturday, June 19, 2021",20:06:45,covnaf,car,1,35,9,5,1,0.4
655,"Saturday, June 19, 2021",20:06:51,covnaf,truck,2,28,9,5,1,0.1
656,"Saturday, June 19, 2021",20:09:30,covnaf,car,1,29,16,4,0,0.65
657,"Saturday, June 19, 2021",20:10:23,covnaf,car,1,31,16,4,0,0.883
658,"Saturday, June 19, 2021",20:10:47,covnaf,car,1,34,16,4,0,0.4
659,"Saturday, June 19, 2021",20:12:12,covnaf,car,1,38,17,5,0,0.417
660,"Saturday, June 19, 2021",20:12:30,covnaf,car,1,23,17,5,0,0.3
661,"Saturday, June 19, 2021",20:12:30,covnaf,car,1,24,17,5,0,0
662,"Saturday, June 19, 2021",20:12:35,covnaf,car,1,31,17,5,0,0.083
663,"Saturday, June 19, 2021",20:13:08,covnaf,moto,0.5,10,17,5,0,0.55
664,"Saturday, June 19, 2021",20:13:33,covnaf,truck,2,19,17,5,0,0.417
665,"Saturday, June 19, 2021",20:13:42,covnaf,car,1,20,17,5,0,0.15
666,"Saturday, June 19, 2021",20:13:58,covnaf,moto,0.5,54,17,5,0,0.267
667,"Saturday, June 19, 2021",20:16:22,covnaf,car,1,14,9,4,0,0.4
668,"Saturday, June 19, 2021",20:16:23,covnaf,moto,0.5,15,9,4,0,0.017
669,"Saturday, June 19, 2021",20:16:43,covnaf,car,1,38,9,4,0,0.333
670,"Saturday, June 19, 2021",20:17:04,covnaf,car,1,8,9,4,0,0.35
671,"Saturday, June 19, 2021",20:17:13,covnaf,truck,2,23,9,4,0,0.15
672,"Saturday, June 19, 2021",20:17:26,covnaf,car,1,33,9,4,0,0.217
673,"Saturday, June 19, 2021",20:17:33,covnaf,car,1,27,9,4,0,0.117
674,"Saturday, June 19, 2021",20:17:39,covnaf,car,1,35,9,4,0,0.1
675,"Saturday, June 19, 2021",20:17:57,covnaf,car,1,33,9,4,0,0.3
676,"Saturday, June 19, 2021",20:19:02,covnaf,car,1,26,12,2,0,0.083
677,"Saturday, June 19, 2021",20:19:07,covnaf,car,1,9,12,2,0,0.083
678,"Saturday, June 19, 2021",20:20:55,covnaf,moto,0.5,30,12,2,0,0.8
679,"Saturday, June 19, 2021",20:20:56,covnaf,car,1,31,12,2,0,0.017
680,"Saturday, June 19, 2021",20:21:02,covnaf,moto,0.5,8,13,4,0,0.1
681,"Saturday, June 19, 2021",20:21:31,covnaf,car,1,30,13,4,0,0.483
682,"Saturday, June 19, 2021",20:21:45,covnaf,car,1,38,13,4,0,0.233
683,"Saturday, June 19, 2021",20:22:04,covnaf,moto,0.5,46,13,4,0,0.317
684,"Saturday, June 19, 2021",20:22:16,covnaf,long,3,16,13,4,0,0.2
685,"Saturday, June 19, 2021",20:22:27,covnaf,car,1,23,13,4,0,0.183
686,"Saturday, June 19, 2021",20:22:43,covnaf,car,1,29,13,4,0,0.267
687,"Saturday, June 19, 2021",20:23:44,covnaf,truck,2,35,20,5,1,0.017
688,"Saturday, June 19, 2021",20:23:55,covnaf,car,1,29,20,5,1,0.183
689,"Saturday, June 19, 2021",20:24:03,covnaf,car,1,6,20,5,1,0.133
690,"Saturday, June 19, 2021",20:24:17,covnaf,truck,2,20,20,5,1,0.233
691,"Saturday, June 19, 2021",20:24:22,covnaf,car,1,11,20,5,1,0.083
692,"Saturday, June 19, 2021",20:24:40,covnaf,car,1,28,20,5,1,0.3
693,"Saturday, June 19, 2021",20:24:46,covnaf,truck,2,11,20,5,1,0.1
694,"Saturday, June 19, 2021",20:24:50,covnaf,car,1,27,20,5,1,0.067
695,"Saturday, June 19, 2021",20:24:56,covnaf,truck,2,52,20,5,1,0.1
696,"Saturday, June 19, 2021",20:25:34,covnaf,car,1,10,14,4,0,0.633
697,"Saturday, June 19, 2021",20:25:42,covnaf,car,1,8,14,4,0,0.133
698,"Saturday, June 19, 2021",20:26:03,covnaf,moto,0.5,35,14,4,0,0.35
699,"Saturday, June 19, 2021",20:26:04,covnaf,car,1,33,14,4,0,0.017
700,"Saturday, June 19, 2021",20:26:50,covnaf,moto,0.5,12,14,4,0,0.767
701,"Saturday, June 19, 2021",20:29:27,covnaf,truck,2,24,25,2,0,0.617
702,"Saturday, June 19, 2021",20:29:30,covnaf,truck,2,22,25,2,0,0.05
703,"Saturday, June 19, 2021",20:29:35,covnaf,moto,0.5,24,25,2,0,0.083
704,"Saturday, June 19, 2021",20:29:46,covnaf,moto,0.5,19,25,2,0,0.183
705,"Saturday, June 19, 2021",20:29:52,covnaf,car,1,20,25,2,0,0.1
706,"Saturday, June 19, 2021",20:29:54,covnaf,car,1,9,25,2,0,0.033
707,"Saturday, June 19, 2021",20:29:55,covnaf,moto,0.5,16,25,2,0,0.017
708,"Saturday, June 19, 2021",20:29:59,covnaf,car,1,20,25,2,0,0.067
709,"Saturday, June 19, 2021",20:30:05,covnaf,car,1,28,14,3,0,0.1
710,"Saturday, June 19, 2021",20:30:19,covnaf,car,1,25,14,3,0,0.233
711,"Saturday, June 19, 2021",20:30:38,covnaf,car,1,30,14,3,0,0.317
712,"Saturday, June 19, 2021",20:31:16,covnaf,moto,0.5,40,14,3,0,0.633
713,"Saturday, June 19, 2021",20:31:24,covnaf,car,1,21,14,3,0,0.133
714,"Saturday, June 19, 2021",20:31:26,covnaf,car,1,21,14,3,0,0.033
715,"Saturday, June 19, 2021",20:31:56,covnaf,car,1,19,14,3,0,0.5
716,"Saturday, June 19, 2021",20:32:13,covnaf,car,1,20,37,1,0,0.283
717,"Saturday, June 19, 2021",20:32:15,covnaf,car,1,22,37,1,0,0.033
718,"Saturday, June 19, 2021",20:32:43,covnaf,car,1,9,37,1,0,0.467
719,"Saturday, June 19, 2021",20:32:48,covnaf,car,1,27,37,1,0,0.083
720,"Saturday, June 19, 2021",20:32:55,covnaf,car,1,8,37,1,0,0.117
721,"Saturday, June 19, 2021",20:33:08,covnaf,car,1,30,37,1,0,0.217
722,"Saturday, June 19, 2021",20:33:33,covnaf,moto,0.5,29,37,1,0,0.417
723,"Saturday, June 19, 2021",20:33:40,covnaf,car,1,20,37,1,0,0.117
724,"Saturday, June 19, 2021",20:34:04,covnaf,car,1,29,30,1,0,0.4
725,"Saturday, June 19, 2021",20:34:10,covnaf,car,1,9,30,1,0,0.1
726,"Saturday, June 19, 2021",20:34:15,covnaf,car,1,28,30,1,0,0.083
727,"Saturday, June 19, 2021",20:34:22,covnaf,car,1,37,30,1,0,0.117
728,"Saturday, June 19, 2021",20:34:25,covnaf,moto,0.5,26,30,1,0,0.05
729,"Saturday, June 19, 2021",20:34:26,covnaf,car,1,27,30,1,0,0.017
730,"Saturday, June 19, 2021",20:34:47,covnaf,car,1,18,30,1,0,0.35
731,"Saturday, June 19, 2021",20:35:02,covnaf,truck,2,25,30,1,0,0.25
732,"Saturday, June 19, 2021",20:37:34,covnaf,car,1,28,13,2,1,0.533
733,"Saturday, June 19, 2021",20:37:52,covnaf,truck,2,38,13,2,1,0.3
734,"Saturday, June 19, 2021",20:38:10,covnaf,car,1,27,13,2,1,0.3
735,"Saturday, June 19, 2021",20:38:15,covnaf,car,1,29,13,2,1,0.083
736,"Saturday, June 19, 2021",20:38:16,covnaf,car,1,34,13,2,1,0.017
737,"Saturday, June 19, 2021",20:38:58,covnaf,truck,2,18,13,2,1,0.7
738,"Saturday, June 19, 2021",11:46:28,covnaf,car,1,34,7,0,0,0
739,"Saturday, June 19, 2021",11:47:01,covnaf,car,1,33,10,0,0,0.55
740,"Saturday, June 19, 2021",11:47:18,covnaf,moto,0.5,27,10,0,0,0.283
741,"Saturday, June 19, 2021",11:47:44,covnaf,car,1,30,10,0,0,0.433
742,"Saturday, June 19, 2021",11:47:48,covnaf,car,1,29,10,0,0,0.067
743,"Saturday, June 19, 2021",11:48:05,covnaf,car,1,30,10,0,0,0.283
744,"Saturday, June 19, 2021",11:48:48,covnaf,car,1,34,10,0,0,0.717
745,"Saturday, June 19, 2021",11:48:50,covnaf,car,1,32,10,0,0,0.033
746,"Saturday, June 19, 2021",11:49:24,covnaf,car,1,25,8,0,0,0.567
747,"Saturday, June 19, 2021",11:50:11,covnaf,car,1,16,8,0,0,0.783
748,"Saturday, June 19, 2021",11:51:19,covnaf,car,1,24,8,2,1,0.133
749,"Saturday, June 19, 2021",11:51:37,covnaf,car,1,23,8,2,1,0.3
750,"Saturday, June 19, 2021",11:51:40,covnaf,car,1,23,8,2,1,0.05
751,"Saturday, June 19, 2021",11:51:45,covnaf,car,1,32,8,2,1,0.083
752,"Saturday, June 19, 2021",11:52:00,covnaf,car,1,40,8,2,1,0.25
753,"Saturday, June 19, 2021",11:54:40,covnaf,car,1,43,5,0,0,0.667
754,"Saturday, June 19, 2021",11:54:45,covnaf,moto,0.5,35,5,0,0,0.083
755,"Saturday, June 19, 2021",11:54:48,covnaf,car,1,33,5,0,0,0.05
756,"Saturday, June 19, 2021",11:54:54,covnaf,moto,0.5,33,5,0,0,0.1
757,"Saturday, June 19, 2021",11:55:03,covnaf,car,1,31,5,0,0,0.15
758,"Saturday, June 19, 2021",11:55:09,covnaf,moto,0.5,25,5,0,0,0.1
759,"Saturday, June 19, 2021",11:55:21,covnaf,car,1,34,5,0,0,0.2
760,"Saturday, June 19, 2021",11:56:31,covnaf,truck,2,33,8,3,0,0.167
761,"Saturday, June 19, 2021",11:57:13,covnaf,car,1,21,8,3,0,0.7
762,"Saturday, June 19, 2021",11:57:15,covnaf,car,1,23,8,3,0,0.033
763,"Saturday, June 19, 2021",11:57:20,covnaf,moto,0.5,23,8,3,0,0.083
764,"Saturday, June 19, 2021",11:59:07,covnaf,truck,2,33,10,0,0,0.783
765,"Saturday, June 19, 2021",11:59:36,covnaf,car,1,25,10,0,0,0.483
766,"Saturday, June 19, 2021",11:59:41,covnaf,car,1,22,10,0,0,0.083
767,"Saturday, June 19, 2021",12:01:43,covnaf,car,1,23,5,1,1,0.033
768,"Saturday, June 19, 2021",12:01:52,covnaf,car,1,36,5,1,1,0.15
769,"Saturday, June 19, 2021",12:02:37,covnaf,car,1,38,5,1,1,0.75
770,"Saturday, June 19, 2021",12:02:54,covnaf,car,1,35,5,1,1,0.283
771,"Saturday, June 19, 2021",12:03:17,covnaf,car,1,29,11,2,0,0.383
772,"Saturday, June 19, 2021",12:03:23,covnaf,car,1,38,11,2,0,0.1
773,"Saturday, June 19, 2021",12:03:29,covnaf,car,1,32,11,2,0,0.1
774,"Saturday, June 19, 2021",12:03:32,covnaf,car,1,31,11,2,0,0.05
775,"Saturday, June 19, 2021",12:03:35,covnaf,car,1,33,11,2,0,0.05
776,"Saturday, June 19, 2021",12:03:45,covnaf,car,1,28,11,2,0,0.167
777,"Saturday, June 19, 2021",12:04:44,covnaf,moto,0.5,25,11,2,0,0.983
778,"Saturday, June 19, 2021",12:04:45,covnaf,car,1,26,11,2,0,0.017
779,"Saturday, June 19, 2021",12:04:48,covnaf,car,1,12,11,2,0,0.05
780,"Saturday, June 19, 2021",12:05:02,covnaf,car,1,31,27,1,0,0.233
781,"Saturday, June 19, 2021",12:05:09,covnaf,car,1,26,27,1,0,0.117
782,"Saturday, June 19, 2021",12:05:22,covnaf,car,1,28,27,1,0,0.217
783,"Saturday, June 19, 2021",12:05:27,covnaf,moto,0.5,18,27,1,0,0.083
784,"Saturday, June 19, 2021",12:06:17,covnaf,car,1,28,27,1,0,0.833
785,"Saturday, June 19, 2021",12:06:20,covnaf,car,1,33,27,1,0,0.05
786,"Saturday, June 19, 2021",12:06:33,covnaf,car,1,35,27,1,0,0.217
787,"Saturday, June 19, 2021",12:06:36,covnaf,moto,0.5,15,27,1,0,0.05
788,"Saturday, June 19, 2021",12:06:40,covnaf,car,1,37,27,1,0,0.067
789,"Saturday, June 19, 2021",12:06:41,covnaf,moto,0.5,20,27,1,0,0.017
790,"Saturday, June 19, 2021",12:06:56,covnaf,car,1,28,27,1,0,0.25
791,"Saturday, June 19, 2021",12:08:12,covnaf,car,1,32,11,3,1,0.267
792,"Saturday, June 19, 2021",12:08:15,covnaf,car,1,30,11,3,1,0.05
793,"Saturday, June 19, 2021",12:09:09,covnaf,car,1,33,11,3,1,0.9
