period,date,time,ped,cross,headway,speed,spcu,flow,case
72,"Saturday, June 19, 2021",19:02:00,12,1,0.65,26,2,92.30769231,shnaf
73,"Saturday, June 19, 2021",19:04:00,11,4,0.6,26,1,100,shnaf
74,"Saturday, June 19, 2021",19:07:00,12,4,0.08,24,1,750,shnaf
75,"Saturday, June 19, 2021",19:09:00,20,3,0.61,26,2,98.36065574,shnaf
76,"Saturday, June 19, 2021",19:12:00,14,3,0.33,29.5,1.5,181.8181818,shnaf
77,"Saturday, June 19, 2021",19:14:00,19,2,0.41,18.5,2,146.3414634,shnaf
78,"Saturday, June 19, 2021",19:16:00,17,4,0.39,27.67,3,153.8461538,shnaf
79,"Saturday, June 19, 2021",19:18:00,10,5,1,24,0,60,shnaf
80,"Saturday, June 19, 2021",19:20:00,14,4,0.3,24.5,2,200,shnaf
81,"Saturday, June 19, 2021",19:22:00,22,2,0.33,24,3,181.8181818,shnaf
82,"Saturday, June 19, 2021",19:24:00,21,4,0.08,20.75,4,750,shnaf
83,"Saturday, June 19, 2021",19:26:00,15,3,0.53,17,1.5,113.2075472,shnaf
84,"Saturday, June 19, 2021",19:28:00,14,7,0.73,24,1,82.19178082,shnaf
85,"Saturday, June 19, 2021",19:30:00,16,3,0.26,19.8,5,230.7692308,shnaf
86,"Saturday, June 19, 2021",19:32:00,13,2,0.93,28,1,64.51612903,shnaf
87,"Saturday, June 19, 2021",19:34:00,10,3,1,24,0,60,shnaf
88,"Saturday, June 19, 2021",19:36:00,15,4,1,24,0,60,shnaf
89,"Saturday, June 19, 2021",19:38:00,16,4,0.41,21,3,146.3414634,shnaf
90,"Saturday, June 19, 2021",19:40:00,21,8,0.21,16.33,3,285.7142857,shnaf
91,"Saturday, June 19, 2021",19:43:00,27,7,0.24,11,6,250,shnaf
92,"Saturday, June 19, 2021",19:45:00,15,4,0.25,21.5,4,240,shnaf
93,"Saturday, June 19, 2021",19:47:00,24,5,0.25,20.5,4,240,shnaf
94,"Saturday, June 19, 2021",19:49:00,15,3,0.33,24,4,181.8181818,shnaf
95,"Saturday, June 19, 2021",19:51:00,20,4,0.28,18.67,3,214.2857143,shnaf
96,"Saturday, June 19, 2021",19:52:00,27,7,0.31,28.5,2,193.5483871,shnaf
97,"Saturday, June 19, 2021",19:55:00,33,8,0.23,20,3,260.8695652,shnaf
98,"Saturday, June 19, 2021",19:57:00,39,13,0.23,30.5,2,260.8695652,shnaf
99,"Saturday, June 19, 2021",19:58:00,30,10,0.16,20.33,3,375,shnaf
100,"Saturday, June 19, 2021",20:01:00,44,9,0.3,21.5,4,200,shnaf
101,"Saturday, June 19, 2021",20:03:00,25,6,0.42,30.67,2,142.8571429,shnaf
102,"Saturday, June 19, 2021",20:05:00,42,10,0.87,22,1,68.96551724,shnaf
103,"Saturday, June 19, 2021",20:07:00,53,14,0.98,21,1,61.2244898,shnaf
104,"Saturday, June 19, 2021",20:10:00,34,9,0.38,20,0.5,157.8947368,shnaf
105,"Saturday, June 19, 2021",20:12:00,33,10,1,24,0,60,shnaf
106,"Saturday, June 19, 2021",11:45:00,7,0,0.3,30.75,5,200,covnaf
107,"Saturday, June 19, 2021",11:47:00,10,0,0.73,34,1,82.19178082,covnaf
108,"Saturday, June 19, 2021",11:49:00,8,0,0.34,32,3,176.4705882,covnaf
109,"Saturday, June 19, 2021",11:51:00,8,2,0.78,16,1,76.92307692,covnaf
110,"Saturday, June 19, 2021",11:54:00,5,0,0.1,28.67,8,600,covnaf
111,"Saturday, June 19, 2021",11:56:00,8,3,0.15,30,2.5,400,covnaf
112,"Saturday, June 19, 2021",11:58:00,10,0,0.27,22.33,2.5,222.2222222,covnaf
113,"Saturday, June 19, 2021",12:01:00,5,1,0.53,29,1,113.2075472,covnaf
114,"Saturday, June 19, 2021",12:03:00,11,2,0.52,36.5,2,115.3846154,covnaf
115,"Saturday, June 19, 2021",12:05:00,27,1,0.35,21,2.5,171.4285714,covnaf
116,"Saturday, June 19, 2021",12:07:00,7,3,0.21,28,6,285.7142857,covnaf
117,"Saturday, June 19, 2021",12:08:00,11,3,1,29,0,60,covnaf
118,"Saturday, June 19, 2021",12:10:00,9,2,0.4,31.25,6,150,covnaf
119,"Saturday, June 19, 2021",12:12:00,16,1,0.65,34,1,92.30769231,covnaf
120,"Saturday, June 19, 2021",12:15:00,5,2,0.12,35,2.5,500,covnaf
121,"Saturday, June 19, 2021",12:17:00,6,0,0.47,28.5,2,127.6595745,covnaf
122,"Saturday, June 19, 2021",12:19:00,2,0,0.29,36.33,3,206.8965517,covnaf
123,"Saturday, June 19, 2021",12:21:00,12,4,0.21,33,3,285.7142857,covnaf
124,"Saturday, June 19, 2021",12:24:00,10,1,0.14,38.5,3,428.5714286,covnaf
125,"Saturday, June 19, 2021",12:26:00,12,1,0.24,14.33,4,250,covnaf
126,"Saturday, June 19, 2021",12:28:00,2,1,1,29,0,60,covnaf
