timestamp,n_pedestrians,ped_crossing,n_cars,mean_car_speed,n_cyclists,mean_cycle_speed,mean_traffic_speed,ped_dens_circ,ped_dens_safe,car_dens_circ,cycle_dens_circ,traffic_dens_circ,case
2020-09-15 09:58:00,7,1.0,11,10.577135069654759,0.0,0.0,10.577135069654759,0.0027348674806646767,0.013585925982488395,0.15935348855107434,0.0,0.15935348855107434,fsbr
2020-09-15 10:00:00,18,2.0,17,11.375603287261871,1.0,10.88454148471616,11.130072385989015,0.005469734961329353,0.036229135953302384,0.24627357321529672,0.014486680777370396,0.2607602539926671,fsbr
2020-09-15 10:02:00,7,0.0,12,15.710840938722306,0.0,0.0,15.710840938722306,0.0,0.01585024697956979,0.17384016932844476,0.0,0.17384016932844476,fsbr
2020-09-15 10:04:00,11,3.0,6,14.38729847494553,0.0,0.0,14.38729847494553,0.00820460244199403,0.018114567976651192,0.08692008466422238,0.0,0.08692008466422238,fsbr
2020-09-15 10:06:00,7,2.0,21,11.999097586568721,2.0,11.276666666666658,11.63788212661769,0.005469734961329353,0.011321604985406995,0.3042202963247783,0.02897336155474079,0.3331936578795191,fsbr
2020-09-15 10:08:00,6,1.0,16,16.341188279978308,0.0,0.0,16.341188279978308,0.0027348674806646767,0.011321604985406995,0.23178689243792633,0.0,0.23178689243792633,fsbr
2020-09-15 10:10:00,6,0.0,20,13.90468573905505,5.0,10.491610337972173,12.198148038513612,0.0,0.013585925982488395,0.2897336155474079,0.07243340388685197,0.3621670194342599,fsbr
2020-09-15 10:12:00,4,2.0,17,13.140670974155084,2.0,9.708301886792455,11.42448643047377,0.005469734961329353,0.004528641994162798,0.24627357321529672,0.02897336155474079,0.27524693477003753,fsbr
2020-09-15 10:14:00,6,3.0,13,14.602042553191483,1.0,16.021438356164392,15.311740454677938,0.00820460244199403,0.0067929629912441974,0.18832685010581515,0.014486680777370396,0.20281353088318554,fsbr
2020-09-15 10:16:00,5,2.0,16,14.785243902439008,0.0,0.0,14.785243902439008,0.005469734961329353,0.0067929629912441974,0.23178689243792633,0.0,0.23178689243792633,fsbr
2020-09-15 10:18:00,4,0.0,27,15.085252126366969,1.0,13.400625,14.242938563183484,0.0,0.009057283988325596,0.39114038098900067,0.014486680777370396,0.4056270617663711,fsbr
2020-09-15 10:20:00,18,2.0,18,15.503599274705344,1.0,9.22428571428571,12.363942494495527,0.005469734961329353,0.036229135953302384,0.2607602539926671,0.014486680777370396,0.27524693477003753,fsbr
2020-09-15 10:22:00,10,4.0,11,14.754461538461543,1.0,10.028144329896906,12.391302934179224,0.010939469922658707,0.013585925982488395,0.15935348855107434,0.014486680777370396,0.17384016932844476,fsbr
2020-09-15 10:24:00,11,4.0,16,14.706846774193558,2.0,12.269158878504667,13.488002826349113,0.010939469922658707,0.01585024697956979,0.23178689243792633,0.02897336155474079,0.2607602539926671,fsbr
2020-09-15 10:26:00,5,1.0,17,15.852506307821727,1.0,13.057553191489353,14.45502974965554,0.0027348674806646767,0.009057283988325596,0.24627357321529672,0.014486680777370396,0.2607602539926671,fsbr
2020-09-15 10:28:00,7,1.0,18,16.22799580712786,0.0,0.0,16.22799580712786,0.0027348674806646767,0.013585925982488395,0.2607602539926671,0.0,0.2607602539926671,fsbr
2020-09-15 10:30:00,21,4.0,22,14.464854669140388,1.0,11.768333333333333,13.11659400123686,0.010939469922658707,0.03849345695038378,0.3187069771021487,0.014486680777370396,0.3331936578795191,fsbr
2020-09-15 10:32:00,12,2.0,16,11.62938994631527,1.0,13.162392638036815,12.395891292176042,0.005469734961329353,0.02264320997081399,0.23178689243792633,0.014486680777370396,0.24627357321529672,fsbr
2020-09-15 10:34:00,7,2.0,22,14.191347926267296,4.0,12.216024734982335,13.203686330624816,0.005469734961329353,0.011321604985406995,0.3187069771021487,0.05794672310948158,0.3766537002116303,fsbr
2020-09-15 10:36:00,11,3.0,15,16.626913875598078,1.0,16.759743589743582,16.693328732670828,0.00820460244199403,0.018114567976651192,0.21730021166055594,0.014486680777370396,0.23178689243792633,fsbr
2020-09-15 10:38:00,5,1.0,11,16.249459234608974,1.0,11.767476635514024,14.0084679350615,0.0027348674806646767,0.009057283988325596,0.15935348855107434,0.014486680777370396,0.17384016932844476,fsbr
2020-09-15 10:40:00,13,4.0,16,18.14756287425149,1.0,14.251999999999999,16.199781437125743,0.010939469922658707,0.020378888973732592,0.23178689243792633,0.014486680777370396,0.24627357321529672,fsbr
2020-09-15 10:42:00,13,5.0,17,17.9299025141098,0.0,0.0,17.9299025141098,0.013674337403323383,0.018114567976651192,0.24627357321529672,0.0,0.24627357321529672,fsbr
2020-09-15 10:44:00,8,2.0,15,11.86469359963688,2.0,17.628722222222223,14.746707910929551,0.005469734961329353,0.013585925982488395,0.21730021166055594,0.02897336155474079,0.24627357321529672,fsbr
2020-09-15 10:46:00,10,4.0,13,11.187691588785068,5.0,14.799549071618033,12.993620330201551,0.010939469922658707,0.013585925982488395,0.18832685010581515,0.07243340388685197,0.2607602539926671,fsbr
2020-09-15 10:48:00,17,1.0,16,16.99537634408602,2.0,13.71444444444444,15.354910394265229,0.0027348674806646767,0.036229135953302384,0.23178689243792633,0.02897336155474079,0.2607602539926671,fsbr
2020-09-15 10:50:00,10,2.0,19,14.155953237410085,3.0,12.37807860262009,13.267015920015087,0.005469734961329353,0.018114567976651192,0.27524693477003753,0.04346004233211119,0.3187069771021487,fsbr
