period,timestamp,n_pedestrians,ped_crossing,n_cars,mean_car_speed,n_cyclists,mean_cycle_speed,ped_timestamp,ped_crossing_timestamp,bike_timestamp,car_timestamp,mean_traffic_speed,ped_dens_circ,ped_dens_safe,car_dens_circ,cycle_dens_circ,traffic_dens_circ,case,shared,oneway,park,mark,trees,bollards,width,cross_y,s_width,inters,bench,obst,lev_segr,lanes,vis_segr
138,9/30/2020 9:12,13,1,5,15.2122061,0,0.0,3,1,0,1,15.2122061,0.002954892,0.003146865,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
139,9/30/2020 9:14,19,3,4,18.49470914,1,13.42068493,3,1,1,1,15.95769704,0.002954892,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
140,9/30/2020 9:16,16,6,1,6.785384615,0,0.0,4,1,0,1,6.785384615,0.002954892,0.004720297,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
141,9/30/2020 9:18,13,4,1,21.70362162,2,12.26807453,2,1,1,1,16.98584808,0.002954892,0.001573432,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
142,9/30/2020 9:20,13,8,2,9.056606061,0,0.0,5,2,1,1,9.056606061,0.005909785,0.004720297,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
143,9/30/2020 9:22,20,6,2,12.98410714,1,13.27906542,4,1,1,1,13.13158628,0.002954892,0.004720297,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
144,9/30/2020 9:24,20,7,4,12.61092827,1,11.46258621,5,1,1,2,12.03675724,0.002954892,0.00629373,0.038481081,0.019240541,0.057721622,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
145,9/30/2020 9:26,21,3,7,16.01202033,1,12.25571429,3,1,1,1,14.13386731,0.002954892,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
146,9/30/2020 9:28,18,7,4,16.7767803,1,11.26024096,2,1,1,2,14.01851063,0.002954892,0.001573432,0.038481081,0.019240541,0.057721622,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
147,9/30/2020 9:30,14,3,6,13.6287044,0,0.0,3,1,0,1,13.6287044,0.002954892,0.003146865,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
148,9/30/2020 9:32,14,6,0,0.0,0,0.0,1,1,0,0,0.0,0.002954892,0.0,0.0,0.0,0.0,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
149,9/30/2020 9:34,22,6,4,14.95992793,0,0.0,4,1,0,1,14.95992793,0.002954892,0.004720297,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
150,9/30/2020 9:36,19,1,3,21.51788321,0,0.0,3,1,0,1,21.51788321,0.002954892,0.003146865,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
151,9/30/2020 9:38,14,6,4,13.57945111,0,0.0,2,1,0,1,13.57945111,0.002954892,0.001573432,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
152,9/30/2020 9:40,10,1,3,21.88555556,0,0.0,6,1,0,1,21.88555556,0.002954892,0.007867162,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
153,9/30/2020 9:42,17,6,2,21.15593103,1,17.59929412,4,1,1,1,19.37761258,0.002954892,0.004720297,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
154,9/30/2020 9:44,15,2,6,12.29725864,0,0.0,3,1,0,1,12.29725864,0.002954892,0.003146865,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
155,9/30/2020 9:46,14,3,3,12.78895623,0,0.0,3,1,0,1,12.78895623,0.002954892,0.003146865,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
156,9/30/2020 9:48,12,5,3,9.157678571,1,14.29170732,2,1,1,1,11.72469294,0.002954892,0.001573432,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
157,9/30/2020 9:50,20,4,3,2.951882353,1,21.62545455,3,1,1,1,12.28866845,0.002954892,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
158,9/30/2020 9:52,20,2,2,10.13578544,1,15.63046512,4,1,1,1,12.88312528,0.002954892,0.004720297,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
159,9/30/2020 9:54,17,3,3,14.89904382,1,25.52227273,2,1,1,1,20.21065828,0.002954892,0.001573432,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
160,9/30/2020 9:56,12,7,3,21.70486486,2,17.61675325,3,1,1,1,19.66080906,0.002954892,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
161,9/30/2020 9:58,18,3,3,12.23189781,1,21.50368421,3,1,1,1,16.86779101,0.002954892,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
162,9/30/2020 10:00,21,6,3,12.87753521,1,10.68913793,4,1,1,1,11.78333657,0.002954892,0.004720297,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
163,9/30/2020 10:02,18,3,5,13.22435811,2,25.59465909,3,1,1,1,19.4095086,0.002954892,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
164,9/30/2020 10:04,16,6,3,7.448966725,1,7.488333333,3,1,1,1,7.468650029,0.002954892,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
165,9/30/2020 10:06,27,12,4,14.10931973,0,0.0,3,1,0,1,14.10931973,0.002954892,0.003146865,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
166,9/30/2020 10:08,17,9,1,11.4222549,0,0.0,6,1,0,1,11.4222549,0.002954892,0.007867162,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
167,9/30/2020 10:10,22,7,0,0.0,1,17.77359375,5,1,1,0,17.77359375,0.002954892,0.00629373,0.0,0.019240541,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
168,9/30/2020 10:12,20,6,1,11.61725389,1,17.90222222,6,1,1,1,14.75973805,0.002954892,0.007867162,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
169,9/30/2020 10:14,20,9,1,20.0744898,0,0.0,4,1,0,1,20.0744898,0.002954892,0.004720297,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
170,9/30/2020 10:16,20,5,1,26.06026667,2,9.421111111,3,1,1,1,17.74068889,0.002954892,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
171,9/30/2020 10:18,24,9,3,20.12829596,1,6.764761905,4,1,1,1,13.44652893,0.002954892,0.004720297,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
172,9/30/2020 10:20,20,7,5,12.16564151,3,12.3143254,4,1,1,1,12.23998345,0.002954892,0.004720297,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
173,9/30/2020 10:22,27,7,6,13.04173285,1,11.09086957,7,1,1,1,12.06630121,0.002954892,0.009440595,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
174,9/30/2020 10:24,22,6,1,21.865,0,0.0,2,1,0,1,21.865,0.002954892,0.001573432,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
175,9/30/2020 10:26,11,5,3,11.50642857,0,0.0,1,1,1,1,11.50642857,0.002954892,0.0,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
176,9/30/2020 10:28,16,5,0,0.0,2,12.52627586,2,1,1,0,12.52627586,0.002954892,0.001573432,0.0,0.019240541,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
177,9/30/2020 10:30,29,11,4,16.47290237,1,8.07751269,5,1,1,1,12.27520753,0.002954892,0.00629373,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
178,9/30/2020 10:32,17,5,3,17.14450402,0,0.0,4,1,0,1,17.14450402,0.002954892,0.004720297,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
179,9/30/2020 10:34,17,5,2,17.6332906,0,0.0,7,1,0,1,17.6332906,0.002954892,0.009440595,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
180,9/30/2020 10:36,18,7,6,13.36146368,1,11.58714286,3,1,1,1,12.47430327,0.002954892,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
181,9/30/2020 10:38,13,0,8,13.39253867,1,14.782,2,0,1,1,14.08726934,0.0,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
182,9/30/2020 10:40,14,3,1,13.384,1,12.96496732,2,1,1,1,13.17448366,0.002954892,0.001573432,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
183,9/30/2020 10:42,14,2,5,10.83910931,1,9.796854839,5,1,1,1,10.31798208,0.002954892,0.00629373,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
184,9/30/2020 10:44,30,7,3,7.368788501,1,8.90025641,6,2,1,1,8.134522456,0.005909785,0.00629373,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
185,9/30/2020 10:46,14,5,0,0.0,0,0.0,2,1,0,0,0.0,0.002954892,0.001573432,0.0,0.0,0.0,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
186,9/30/2020 10:48,15,4,3,15.14430079,0,0.0,4,1,1,1,15.14430079,0.002954892,0.004720297,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
187,9/30/2020 10:50,19,3,5,15.35505396,1,13.83958333,1,1,1,1,14.59731865,0.002954892,0.0,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
188,9/30/2020 10:52,18,8,5,12.19629988,0,0.0,6,1,1,1,12.19629988,0.002954892,0.007867162,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
189,9/30/2020 10:54,16,4,4,13.3931713,0,0.0,4,1,0,3,13.3931713,0.002954892,0.004720297,0.057721622,0.0,0.057721622,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
190,9/30/2020 10:56,22,10,9,8.099270315,1,9.759333333,3,1,1,1,8.929301824,0.002954892,0.003146865,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
191,9/30/2020 10:58,21,8,2,22.85381503,2,14.01702532,4,1,1,1,18.43542017,0.002954892,0.004720297,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
192,9/30/2020 11:00,23,7,4,11.95607558,1,14.46122807,4,1,1,1,13.20865183,0.002954892,0.004720297,0.019240541,0.019240541,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
193,9/30/2020 11:02,26,8,6,14.35884161,0,0.0,5,1,0,1,14.35884161,0.002954892,0.00629373,0.019240541,0.0,0.019240541,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
194,9/30/2020 11:04,18,9,6,8.283426501,1,14.966,2,1,1,2,11.62471325,0.002954892,0.001573432,0.038481081,0.019240541,0.057721622,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
195,9/30/2020 11:06,4,2,8,11.20656442,0,0.0,1,1,0,2,11.20656442,0.002954892,0.0,0.038481081,0.0,0.038481081,mke,1,0,1,1,0,1,6.0,0,3.5,999,1,1,1,2,1
