case,flow,speed,dspeed,lspeed,comply,ped,cross,shared,oneway,lanes,mark,trees,bollards,width,cross_y,s_width,bench,obst,lev_segr,vis_segr,pedcross,shpedspace,shped
fsbr,300,17.97938043,1.702775949,-2.02061957,0.898969022,90,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.230769231
fsbr,510,11.5808283,-4.695776181,-8.4191717,0.579041415,270,90,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.333333333,0.538461538,0.346153846
fsbr,780,14.3792588,-1.897345681,-5.6207412,0.71896294,300,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.277777778
fsbr,630,19.88176358,3.605159099,-0.11823642,0.994088179,150,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.192307692
fsbr,450,17.94769186,1.671087379,-2.05230814,0.897384593,420,60,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.142857143,0.538461538,0.482758621
fsbr,480,21.06235249,4.785748009,1.06235249,1.053117625,330,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.090909091,0.538461538,0.407407407
fsbr,420,12.89959354,-3.377010941,-7.10040646,0.644979677,210,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.142857143,0.538461538,0.333333333
fsbr,300,16.34033945,0.063734969,-3.65966055,0.817016973,360,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.083333333,0.538461538,0.545454545
fsbr,630,19.66533531,3.388730829,-0.33466469,0.983266766,240,60,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.25,0.538461538,0.275862069
fsbr,630,17.2253568,0.948752319,-2.7746432,0.86126784,270,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.111111111,0.538461538,0.3
fsbr,660,16.55788165,0.281277169,-3.44211835,0.827894083,210,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.24137931
fsbr,720,16.76334292,0.486738439,-3.23665708,0.838167146,150,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.172413793
fsbr,840,17.60325769,1.326653209,-2.39674231,0.880162885,150,60,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.4,0.538461538,0.151515152
fsbr,420,17.18041203,0.903807549,-2.81958797,0.859020602,330,90,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.272727273,0.538461538,0.44
fsbr,480,18.57373358,2.297129099,-1.42626642,0.928686679,420,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.466666667
fsbr,510,18.27066458,1.994060099,-1.72933542,0.913533229,360,60,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.166666667,0.538461538,0.413793103
fsbr,570,19.99725287,3.720648389,-0.00274713,0.999862644,120,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.173913043
fsbr,360,17.56635971,1.289755229,-2.43364029,0.878317986,180,60,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.333333333,0.538461538,0.333333333
fsbr,480,18.8075066,2.530902119,-1.1924934,0.94037533,120,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.25,0.538461538,0.2
fsbr,510,17.04346688,0.766862399,-2.95653312,0.852173344,90,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.15
fsbr,420,21.91592433,5.639319849,1.91592433,1.095796217,300,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.1,0.538461538,0.416666667
fsbr,720,17.84188504,1.565280559,-2.15811496,0.892094252,240,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.25
fsbr,570,19.48387245,3.207267969,-0.51612755,0.974193623,240,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.125,0.538461538,0.296296296
fsbr,810,15.99649842,-0.280106061,-4.00350158,0.799824921,300,90,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.3,0.538461538,0.27027027
fsbr,480,19.36196698,3.085362499,-0.63803302,0.968098349,330,90,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.272727273,0.538461538,0.407407407
fsbr,750,18.3480172,2.071412719,-1.6519828,0.91740086,180,90,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.5,0.538461538,0.193548387
fsbr,420,20.37347181,4.096867329,0.37347181,1.018673591,120,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.25,0.538461538,0.222222222
fsbr,510,16.80167024,0.525065759,-3.19832976,0.840083512,360,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.083333333,0.538461538,0.413793103
fsbr,660,18.70856596,2.431961479,-1.29143404,0.935428298,330,0,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0,0.538461538,0.333333333
fsbr,510,14.32017241,-1.956432071,-5.67982759,0.716008621,660,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.045454545,0.538461538,0.564102564
fsbr,240,21.17287966,4.896275179,1.17287966,1.058643983,210,30,1,0,2,1,1,1,6,1,3.5,0,0,0,1,0.142857143,0.538461538,0.466666667
lsho,120,11.67489489,2.733816868,1.67489489,1.167489489,60,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.333333333
lsho,30,0,-8.941078022,-10,1,120,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.5,0.666666667,0.8
lsho,150,9.0652,0.124121978,-0.9348,0.90652,60,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.285714286
lsho,330,9.466775701,0.525697679,-0.533224299,0.94667757,120,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.266666667
lsho,270,9.595907384,0.654829362,-0.404092616,0.959590738,90,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.333333333,0.666666667,0.25
lsho,120,9.902747748,0.961669726,-0.097252252,0.990274775,120,90,1,1,1,1,1,0,3,0,3,1,0,0,1,0.75,0.666666667,0.5
